date,0,1,2
2025-02-01,0.44747356,0.24565049,0.30687594
2025-02-01,0.38364902,0.41319436,0.20315665
2025-02-01,0.32850176,0.51179653,0.15970176
2025-02-01,0.28282988,0.5829004,0.1342697
2025-02-02,0.46620798,0.2758103,0.25798175
2025-02-02,0.48041862,0.23732884,0.28225252
2025-02-02,0.47520566,0.2511414,0.27365294
2025-02-02,0.48245493,0.20635451,0.3111905
2025-02-02,0.45715842,0.30204895,0.2407926
2025-02-02,0.44288114,0.3294099,0.22770898
2025-02-02,0.28192893,0.5750917,0.14297931
2025-02-02,0.25014058,0.62937254,0.120486885
2025-02-02,0.43703488,0.30793735,0.25502777
2025-02-02,0.3233689,0.48004907,0.19658194
2025-02-02,0.35408416,0.4480848,0.1978311
2025-02-02,0.34302065,0.46894017,0.18803921
2025-02-02,0.20906195,0.719502,0.07143611
2025-02-02,0.5162825,0.13363291,0.3500845
2025-02-02,0.115240544,0.85074466,0.034014788
2025-02-02,0.4436555,0.23323312,0.32311141
2025-02-02,0.4765315,0.14681812,0.37665042
2025-02-02,0.4545354,0.21897064,0.32649395
2025-02-02,0.27596343,0.59631056,0.12772606
2025-02-02,0.11331546,0.8505784,0.03610611
2025-02-03,0.25030157,0.6232435,0.12645489
2025-02-03,0.38588628,0.42817888,0.18593484
2025-02-03,0.34891212,0.4582899,0.192798
2025-02-03,0.51408124,0.10500173,0.38091698
2025-02-03,0.42153233,0.4336149,0.14485283
2025-02-03,0.52359915,0.09220712,0.38419366
2025-02-03,0.15784241,0.7904128,0.051744875
2025-02-03,0.4213482,0.35111606,0.22753578
2025-02-03,0.47653398,0.29856768,0.2248983
2025-02-03,0.18418053,0.74016,0.07565949
2025-02-03,0.26385242,0.6296453,0.10650233
2025-02-03,0.16404673,0.7735419,0.062411357
2025-02-03,0.31877875,0.526976,0.15424524
2025-02-03,0.21237114,0.70285386,0.08477502
2025-02-03,0.21879987,0.69586664,0.08533343
2025-02-03,0.37106854,0.43317124,0.19576024
2025-02-03,0.34164494,0.46965382,0.18870123
2025-02-03,0.21506976,0.7073044,0.07762576
2025-02-03,0.21506448,0.7073135,0.07762205
2025-02-03,0.21502228,0.7073734,0.077604376
2025-02-03,0.21503006,0.70739955,0.077570364
2025-02-03,0.21508688,0.70742387,0.07748933
2025-02-03,0.28332326,0.5901614,0.12651537
2025-02-03,0.31090492,0.54401445,0.14508063
2025-02-03,0.2537967,0.63476384,0.11143942
2025-02-03,0.3303485,0.50500864,0.16464289
2025-02-03,0.27585012,0.6092123,0.11493766
2025-02-03,0.4898551,0.22528757,0.28485733
2025-02-03,0.34758633,0.51577604,0.13663761
2025-02-03,0.1382224,0.8157894,0.045988258
2025-02-03,0.21041085,0.7116732,0.07791595
2025-02-03,0.15561575,0.7907604,0.053623766
2025-02-03,0.50559676,0.15826523,0.3361379
2025-02-03,0.3034364,0.5851435,0.11142011
2025-02-03,0.4857154,0.23463735,0.27964723
2025-02-03,0.45937598,0.20672384,0.33390015
2025-02-03,0.3227869,0.50669616,0.17051691
2025-02-03,0.45305967,0.16668056,0.38025978
2025-02-03,0.24709156,0.6489047,0.10400379
2025-02-03,0.471494,0.19043197,0.338074
2025-02-03,0.4528127,0.26875278,0.27843451
2025-02-03,0.4845749,0.118757665,0.3966674
2025-02-03,0.43595076,0.3608646,0.20318459
2025-02-03,0.4536053,0.2650328,0.28136185
2025-02-03,0.41077787,0.34635767,0.24286446
2025-02-03,0.33591607,0.50412726,0.15995662
2025-02-03,0.4231569,0.3499949,0.22684819
2025-02-03,0.16238977,0.7683431,0.06926711
2025-02-03,0.37808818,0.38602358,0.23588824
2025-02-03,0.38520145,0.43341434,0.18138418
2025-02-03,0.22542457,0.6919571,0.082618296
2025-02-03,0.46877354,0.14966756,0.38155895
2025-02-03,0.4683487,0.2721356,0.25951567
2025-02-03,0.24085684,0.6645493,0.09459391
2025-02-03,0.04095988,0.94987,0.009170116
2025-02-03,0.16581248,0.768288,0.06589947
2025-02-03,0.37352306,0.40516534,0.22131164
2025-02-03,0.35995924,0.45629737,0.18374345
2025-02-03,0.3148621,0.5670965,0.1180415
2025-02-03,0.45202026,0.34655482,0.20142496
2025-02-03,0.2810284,0.6146608,0.10431083
2025-02-03,0.4410624,0.27438164,0.28455594
2025-02-03,0.45486605,0.17562196,0.36951193
2025-02-03,0.35826844,0.487215,0.15451653
2025-02-04,0.052854262,0.9355721,0.011573587
2025-02-04,0.3828865,0.36688703,0.25022647
2025-02-04,0.35656062,0.45266107,0.19077834
2025-02-04,0.012562328,0.985628,0.0018096525
2025-02-04,0.45947856,0.24858573,0.29193565
2025-02-04,0.34419695,0.4971471,0.15865596
2025-02-04,0.11174091,0.8535718,0.034687366
2025-02-04,0.23016195,0.66976047,0.10007761
2025-02-04,0.39607215,0.46799463,0.13593325
2025-02-04,0.51957,0.18409194,0.29633808
2025-02-04,0.28526023,0.596617,0.11812273
2025-02-04,0.42703846,0.31894138,0.25402012
2025-02-04,0.43681175,0.2579731,0.30521518
2025-02-04,0.2603216,0.62705487,0.11262348
2025-02-04,0.48434368,0.15201424,0.36364204
2025-02-04,0.3582427,0.434635,0.20712227
2025-02-04,0.3423792,0.45797735,0.1996434
2025-02-04,0.20491262,0.72466606,0.07042135
2025-02-04,0.34953797,0.46383843,0.1866236
2025-02-04,0.18134432,0.76030505,0.058350615
2025-02-04,0.24244182,0.6656351,0.091923006
2025-02-04,0.40037775,0.35717112,0.24245113
2025-02-04,0.35987103,0.45417398,0.18595503
2025-02-04,0.3287767,0.5006951,0.17052816
