Close,High,Low,Open,Volume,Date
2691.929931640625,2700.5400390625,2681.909912109375,2690.159912109375,0,2022-05-03 09:00:00
2696.820068359375,2698.1298828125,2690.199951171875,2693.590087890625,125623,2022-05-03 10:00:00
2701.510009765625,2702.10009765625,2695.85009765625,2696.64990234375,114844,2022-05-03 11:00:00
2694.35009765625,2701.570068359375,2692.3798828125,2701.110107421875,87854,2022-05-03 12:00:00
2688.139892578125,2694.8701171875,2687.56005859375,2693.6201171875,80286,2022-05-03 13:00:00
2686.1298828125,2692.159912109375,2683.6201171875,2687.929931640625,119871,2022-05-03 14:00:00
2688.909912109375,2696.030029296875,2685.179931640625,2690.449951171875,0,2022-05-04 09:00:00
2682.5,2691.080078125,2680.570068359375,2688.6298828125,284729,2022-05-04 10:00:00
2677.530029296875,2685.090087890625,2675.550048828125,2682.830078125,107417,2022-05-04 11:00:00
2672.27001953125,2678.340087890625,2671.60009765625,2676.31005859375,87700,2022-05-04 12:00:00
2676.169921875,2678.419921875,2671.72998046875,2672.610107421875,107954,2022-05-04 13:00:00
2670.659912109375,2676.4599609375,2667.22998046875,2674.340087890625,125177,2022-05-04 14:00:00
2648.64990234375,2652.510009765625,2639.25,2650.889892578125,0,2022-05-06 09:00:00
2638.89990234375,2648.7099609375,2636.760009765625,2647.409912109375,205335,2022-05-06 10:00:00
2638.800048828125,2641.419921875,2635.969970703125,2639.929931640625,262737,2022-05-06 11:00:00
2645.659912109375,2646.43994140625,2639.5,2639.60009765625,143061,2022-05-06 12:00:00
2643.800048828125,2647.52001953125,2643.639892578125,2645.6298828125,104407,2022-05-06 13:00:00
2646.6298828125,2647.719970703125,2642.3798828125,2643.070068359375,108292,2022-05-06 14:00:00
2557.919921875,2590.1298828125,2553.010009765625,2590.1298828125,0,2022-05-10 09:00:00
2571.830078125,2572.070068359375,2556.8701171875,2557.909912109375,142317,2022-05-10 10:00:00
